うすくちしょうゆ,うすくちしょうゆ,1800,ml,347,0.2,食材,1,,入数８,0
セパレートドレッシング,セパレートドレッシング,1000,ml,425,0.4,食材,1,,入数９,0
粒マスタード,粒マスタード(チューブ),270,g,360,1.3,食材,1,,入数１２,0
ゆず果汁,ゆず果汁,150,ml,750,5.0,食材,1,,入数１２　　（注）お家に在庫なしメーカーから直送、1回の運賃２０００円,0
しらす干し,大冷)JEFDしらす干し,200,g,450,2.3,食材,10,,２００ｇ×２５袋　　1袋から,0
JEFDPLUSカットわかめ,JEFDPLUSカットわかめ,500,g,940,1.9,食材,10,,５００ｇ×２０袋　1袋から,0
JEFD味付ぽん酢,JEFD味付ぽん酢,1800,ml,460,0.3,食材,10,,１．８ｌ×６本　1本から,0
みょうが（1ｐｃ3つ1つ12．5ｇ）,みょうが(1ｐｃ3つ1つ12．5ｇ),37,g,190,5.1,食材,16,,みょうが（１ｐｃ3つ１つ１２．５ｇ）,0
鶏ももカット110ｇ,鶏ももカット110ｇ,1000,g,460,0.5,食材,13,,,0
サラダ菜（1ｐｃ100ｇ）,サラダ菜(1ｐｃ100ｇ),100,g,105,1.1,食材,16,,１ｐｃ約１００ｇ,0
ＪＥＦＤ）テイスティワイン（白）,ＪＥＦＤ)テイスティワイン(白)紙パック,1800,ml,790,0.4,食材,10,,１．８Ｌ×６　　　1本から発注可,0
Ａ）ＫＫコンソメ,Ａ)ＫＫコンソメ,1000,g,1080,1.1,食材,10,,１ｋｇ×１２　　12箱から,1
マッシュルーム（1ｐｃ5個115ｇ）,マッシュルーム(1ｐｃ5個115ｇ),115,g,140,1.2,食材,16,,１ｐｃ5個,0
みたけ 焼みょうばん,みたけ 焼みょうばん,35,g,85,2.4,食材,10,,３５×１０×１０　５ｃｓから,0
にら饅頭,にら饅頭,480,個,6960,14.5,食材,2,91130072,（２５ｇ×４０×６）×2,0
鶏軟骨から揚げ500ｇ,鶏軟骨から揚げ500ｇ 冷凍,500,g,648,1.3,食材,17,,12袋から,0
ししゃもから揚げ,ししゃもから揚げ(カラフトシシャモ)冷凍,1000,g,1300,1.3,食材,17,,1袋最低４１ぴき　　1kg×６袋,0
カキフライ,カキフライ(韓国産)冷凍Ｒ,480,個,16800,35.0,食材,17,,（２０ヶ×１２トレー）×2合=４８０から,0
マンナンヒカリ,マンナンヒカリ 業務用 1ＫＧ,1000,g,1255,1.3,食材,1,3431669,受注品　10日かかる事もある　10k単位,0
ＣＺ－221 本体,ＣＺ－221 本体,600,枚,4680,7.8,弁当容器,18,,,0
ＣＺ－221 蓋,ＣＺ－221 蓋,600,枚,3000,5.0,弁当容器,18,,,0
